scenario,treatment,metric,observations,mean,median,std,min,max,q1,q3,iqr,p95
full_profile,GRAPHQL,response_time_ms,100,25.598955999999998,24.768250000000002,6.289655652267861,5.1259,37.7381,22.957075000000003,31.212249999999997,8.255174999999994,35.707809999999995
full_profile,REST,response_time_ms,100,187.929212,198.24635,30.898468750655077,64.4702,227.2625,180.92425,206.677775,25.753524999999996,212.10514999999998
nested_data,GRAPHQL,response_time_ms,100,23.463274000000002,23.3394,7.200519120085102,3.1876,36.6587,20.441475,28.691525,8.250049999999998,33.63321
nested_data,REST,response_time_ms,100,188.62646700000002,197.00805000000003,27.898499977822034,88.684,234.7227,178.537575,208.09637500000002,29.55880000000002,216.221545
post_titles,GRAPHQL,response_time_ms,100,18.222814,17.14295,7.2291959575970415,1.7225,32.0643,16.076525,22.046125,5.9696,31.05807
post_titles,REST,response_time_ms,100,18.844869000000003,17.232300000000002,7.527605205940599,1.864,32.1515,15.962299999999999,24.03115,8.068850000000001,31.040945
simple_user,GRAPHQL,response_time_ms,100,16.262908,16.598950000000002,5.897699138461891,1.5736,31.7418,15.614650000000001,18.081025,2.4663749999999993,26.290819999999993
simple_user,REST,response_time_ms,100,16.234647,16.2738,6.217505493419204,2.0442,31.5313,13.6326,18.299675,4.6670750000000005,26.945794999999997
user_list,GRAPHQL,response_time_ms,100,19.817821,17.238300000000002,7.935474565739214,1.6225,31.9527,16.135675,27.562675,11.427,31.43609
user_list,REST,response_time_ms,100,20.070333,18.03765,7.3373405433509795,1.9512,32.8149,17.245375,25.046025,7.800650000000001,32.216445
full_profile,GRAPHQL,response_size_bytes,100,5647.0,5647.0,0.0,5647.0,5647.0,5647.0,5647.0,0.0,5647.0
full_profile,REST,response_size_bytes,100,5608.0,5608.0,0.0,5608.0,5608.0,5608.0,5608.0,0.0,5608.0
nested_data,GRAPHQL,response_size_bytes,100,3105.0,3105.0,0.0,3105.0,3105.0,3105.0,3105.0,0.0,3105.0
nested_data,REST,response_size_bytes,100,5608.0,5608.0,0.0,5608.0,5608.0,5608.0,5608.0,0.0,5608.0
post_titles,GRAPHQL,response_size_bytes,100,268.0,268.0,0.0,268.0,268.0,268.0,268.0,0.0,268.0
post_titles,REST,response_size_bytes,100,1359.0,1359.0,0.0,1359.0,1359.0,1359.0,1359.0,0.0,1359.0
simple_user,GRAPHQL,response_size_bytes,100,78.0,78.0,0.0,78.0,78.0,78.0,78.0,0.0,78.0
simple_user,REST,response_size_bytes,100,115.0,115.0,0.0,115.0,115.0,115.0,115.0,0.0,115.0
user_list,GRAPHQL,response_size_bytes,100,2531.0,2531.0,0.0,2531.0,2531.0,2531.0,2531.0,0.0,2531.0
user_list,REST,response_size_bytes,100,5471.0,5471.0,0.0,5471.0,5471.0,5471.0,5471.0,0.0,5471.0
